BGRENERGY,3.0999985,
BHAGERIA,3.899994,
BHAGYANGR,1.1500015,
BHAGYAPROP,0.95000076,
BHANDARI,0.100000024,
BHARATFORG,12.900024,
BHARATGEAR,2.5999985,
BHARATRAS,236.0,
BHARATWIRE,1.8500004,
BHARTIARTL,13.149994,
BHEL,1.5,
BIGBLOC,0.25,
BIL,10.449997,
BILENERGY,0.050000012,
BINDALAGRO,1.3500004,
BIOCON,14.899994,
BIOFILCHEM,0.8499994,
BIRLACABLE,1.5999985,
BIRLACORPN,42.0,
BIRLAMONEY,0.9000015,
BKMINDST,0.050000012,
BLBLIMITED,0.4000001,
BLISSGVS,2.350006,
BLKASHYAP,0.34999943,
BLS,2.199997,
BLUEBLENDS,0.050000012,
BLUEDART,182.0,
BLUESTARCO,55.5,
BODALCHEM,1.5999985,
BOHRA,0.0,
BOMDYEING,7.2000046,
BOROSIL,6.300003,
BOSCHLTD,221.5,
BPCL,10.25,
BPL,0.5,
BRFL,0.25,
BRIGADE,7.0,
BRITANNIA,55.44995,
BRITANNIA,0.3199997,
BRNL,5.4000015,
BROOKS,2.6500015,
BSE,8.700012,
BSELINFRA,0.05000007,
BSHSL,2.5,
BSL,2.3500023,
BSLGOLDETF,94.69995,
BSOFT,1.199997,
BURNPUR,0.100000024,
BUTTERFLY,13.0,
BVCL,0.19999981,
BYKE,1.3999996,
CADILAHC,4.850006,
CADSYS,0.0,
CALSOFT,1.0500002,
CAMLINFINE,4.5999985,
CANBK,4.349991,
CANDC,0.20000005,
CANFINHOME,23.149994,
CANTABIL,8.550018,
CAPACITE,5.599991,
CAPLIPOINT,7.0,
CAPTRUST,12.949997,
CARBORUNIV,7.899994,
CAREERP,4.9000015,
CARERATING,16.900024,
CASTEXTECH,0.050000012,
CASTROLIND,3.0999908,
CCHHL,0.20000005,
CCL,19.649994,
CDSL,5.799988,
CEATLTD,13.799988,
CEBBCO,0.8999996,
CELEBRITY,0.25,
CELESTIAL,0.05000019,
CENTENKA,6.449997,
CENTEXT,0.1500001,
CENTRALBK,1.0,
CENTRUM,1.2999992,
CENTUM,19.450012,
CENTURYPLY,3.399994,
CENTURYTEX,22.450012,
CERA,19.5,
CEREBRAINT,0.0,
CESC,11.600037,
CESCVENT,9.050018,
CGCL,6.849991,
CGPOWER,0.5,
CHALET,6.049988,
CHAMBLFERT,6.649994,
CHEMBOND,12.449997,
CHEMFAB,9.800003,
CHENNPETRO,6.0,
CHOLAFIN,9.75,
CHOLAHLDNG,22.950012,
CHROMATIC,0.100000024,
CIGNITITEC,8.899994,
CIMMCO,1.75,
CINELINE,1.5,
CINEVISTA,0.39999962,
CIPLA,7.049988,
CKFSL,0.049999982,
CLEDUCATE,4.5499954,
CLNINDIA,8.25,
CMICABLES,2.6000023,
CMMIPL,0.0,
CNOVAPETRO,0.4000001,
COALINDIA,5.0,
COCHINSHIP,15.949982,
COFFEEDAY,2.5,
COLPAL,22.75,
COMPINFO,1.8999996,
COMPUSOFT,0.20000029,
CONCOR,11.450012,
CONFIPET,3.6000004,
CONSOFINVT,1.0999985,
CONTI,2.199997,
CONTROLPR,24.300003,
CORALFINAC,0.39999962,
CORDSCABLE,5.299999,
COROMANDEL,11.700012,
CORPBANK,0.25,
COSMOFILMS,4.75,
COUNCODOS,0.100000024,
COX&KINGS,0.05000007,
CPSEETF,0.30000114,
CREATIVE,7.800003,
CREATIVEYE,0.0,
CREDITACC,31.400024,
CREST,8.75,
CRISIL,63.80005,
CROMPTON,8.299988,
CSBBANK,7.0,
CTE,1.6499996,
CUB,7.25,
CUBEXTUB,0.19999981,
CUMMINSIND,58.799988,
CUPID,8.0,
CYBERMEDIA,0.0,
CYBERTECH,1.0999985,
CYIENT,11.850006,
DAAWAT,1.0499992,
DABUR,6.799988,
DALBHARAT,58.950012,
DALMIASUG,4.300003,
DAMODARIND,1.3500004,
DANGEE,0.0,
DATAMATICS,3.7000046,
DBCORP,2.550003,
DBL,9.899994,
DBREALTY,0.5500002,
DBSTOCKBRO,0.0,
DCAL,5.399994,
DCBBANK,7.0,
DCM,1.75,
DCMFINSERV,0.0,
DCMNVL,2.4000015,
DCMSHRIRAM,19.049988,
DCW,0.5999994,
DECCANCE,10.5,
DEEPAKFERT,6.3499985,
DEEPAKNTR,7.350006,
DEEPIND,3.050003,
DELTACORP,5.050003,
DELTAMAGNT,2.7000008,
DEN,3.4500008,
DENORA,9.5,
DEVIT,2.100006,
DFMFOODS,28.899994,
DGCONTENT,0.20000029,
DHAMPURSUG,11.350006,
DHANBANK,0.5500002,
DHANUKA,51.850006,
DHARSUGAR,0.5499997,
DHFL,0.8499994,
DHFL,0.0,
DHFL,10.0,
DHFL,15.0,
DHFL,1.0,
DHFL,15.0,
DHFL,25.059998,
DHFL,2.0,
DHFL,0.1000061,
DHFL,3.0,
DHFL,0.0,
DHUNINV,23.899994,
DIAMONDYD,23.650024,
DIAPOWER,0.099999964,
DICIND,24.75,
DIGISPICE,0.3499999,
