SYMBOL,AVG,
BLKASHYAP,2.5166624,
BLS,1.983333,
BLUEBLENDS,17.99999,
BLUEDART,69.78333,
BLUESTARCO,18.933332,
BODALCHEM,0.6666661,
BOHRA,1.8833302,
BOMDYEING,3.1499987,
BOROSIL,2.9000027,
BOSCHLTD,74.566666,
BPCL,49.200016,
BPL,42.133343,
BRFL,7.9833426,
BRIGADE,4.8499985,
BRITANNIA,20.783316,
BRITANNIA,171.95667,
BRNL,9.433342,
BROOKS,182.88335,
BSE,9.400006,
BSELINFRA,7.1166654,
BSHSL,30.15,
BSL,3.5266647,
BSLGOLDETF,46.46665,
BSOFT,1.5466652,
BURNPUR,4.5666738,
BUTTERFLY,7.3833337,
BVCL,4.366658,
BYKE,29.816666,
CADILAHC,2.640002,
CADSYS,5.766668,
CALSOFT,37.05,
CAMLINFINE,12.563332,
CANBK,2.816665,
CANDC,3.0833333,
CANFINHOME,12.316666,
CANTABIL,4.5666714,
CAPACITE,3.9000008,
CAPLIPOINT,5.100002,
CAPTRUST,8.53333,
CARBORUNIV,7.533333,
CAREERP,4.566668,
CARERATING,9.550008,
CASTEXTECH,5.450001,
CASTROLIND,9.566666,
CCHHL,2.8166666,
CCL,13.866669,
CDSL,5.1333294,
CEATLTD,10.916667,
CEBBCO,1.9666649,
CELEBRITY,8.983337,
CELESTIAL,2.6166708,
CENTENKA,12.0,
CENTEXT,0.38333344,
CENTRALBK,5.249998,
CENTRUM,2.5166724,
CENTUM,17.916666,
CENTURYPLY,1.3999977,
CENTURYTEX,8.183337,
CERA,7.4,
CEREBRAINT,9.299988,
CESC,5.1833453,
CESCVENT,17.85002,
CGCL,20.01663,
CGPOWER,4.75,
CHALET,8.750005,
CHAMBLFERT,13.533325,
CHEMBOND,28.03335,
CHEMFAB,3.4333344,
CHENNPETRO,14.033345,
CHOLAFIN,13.250005,
CHOLAHLDNG,17.566666,
CHROMATIC,4.2666645,
CIGNITITEC,11.166667,
CIMMCO,7.683329,
CINELINE,10.133316,
CINEVISTA,3.3166676,
CIPLA,7.899994,
CKFSL,2.8500001,
CLEDUCATE,8.533332,
CLNINDIA,3.0,
CMICABLES,5.983336,
CMMIPL,0.51666665,
CNOVAPETRO,1.4333339,
COALINDIA,6.0833416,
COCHINSHIP,10.883325,
COFFEEDAY,0.84999996,
COLPAL,8.583333,
COMPINFO,9.600003,
COMPUSOFT,6.1666665,
CONCOR,4.86667,
CONFIPET,24.83335,
CONSOFINVT,2.3833349,
CONTI,6.449995,
CONTROLPR,13.783334,
CORALFINAC,41.23335,
CORDSCABLE,3.75,
COROMANDEL,4.6500034,
CORPBANK,8.783345,
COSMOFILMS,1.983334,
COUNCODOS,4.4500003,
COX&KINGS,10.500004,
CPSEETF,3.5333335,
CREATIVE,4.4666696,
CREATIVEYE,1.2666668,
CREDITACC,19.966679,
CREST,3.6666667,
CRISIL,24.900015,
CROMPTON,2.7833292,
CSBBANK,13.500004,
CTE,3.7933338,
CUB,23.833319,
CUBEXTUB,26.71667,
CUMMINSIND,26.049997,
CUPID,29.63334,
CYBERMEDIA,6.1833344,
CYBERTECH,3.3333328,
CYIENT,12.0666685,
DAAWAT,4.883335,
DABUR,2.9333293,
DALBHARAT,27.316683,
DALMIASUG,9.349996,
DAMODARIND,0.88333386,
DANGEE,8.200007,
DATAMATICS,11.3166685,
DBCORP,4.733336,
DBL,11.916672,
DBREALTY,9.866668,
DBSTOCKBRO,2.616666,
DCAL,6.3666606,
DCBBANK,5.233333,
DCM,1.8166656,
DCMFINSERV,4.1833267,
DCMNVL,3.5333347,
DCMSHRIRAM,6.433329,
DCW,2.5999994,
DECCANCE,6.716665,
DEEPAKFERT,6.033333,
DEEPAKNTR,3.2666686,
DEEPIND,6.933333,
DELTACORP,7.2999954,
DELTAMAGNT,8.300004,
DEN,8.116668,
DENORA,8.449994,
DEVIT,4.900007,
DFMFOODS,12.549998,
DGCONTENT,5.549999,
DHAMPURSUG,4.4333367,
DHANBANK,6.866665,
DHANUKA,20.733337,
DHARSUGAR,4.583332,
DHFL,6.733339,
DHFL,18.366674,
DHFL,6.3333354,
DHFL,5.266667,
DHFL,11.136673,
DHFL,9.483334,
DHFL,15.119999,
DHFL,10.0,
DHFL,8.533336,
DHFL,13.286672,
DHFL,0.01666665,
DHUNINV,9.733327,
DIAMONDYD,19.300009,
DIAPOWER,2.650001,
DICIND,14.8,
DIGISPICE,12.150001,
DIGJAMLTD,91.61674,
DISHTV,3.433328,
DIVISLAB,21.283325,
DIXON,111.11678,
DLF,14.833331,
DLINKINDIA,144.63333,
DMART,24.333334,
DNAMEDIA,1.816666,
DOLAT,29.633316,
DOLLAR,2.6166635,
DONEAR,3.2333336,
DPSCLTD,2.450001,
DPWIRES,6.3500004,
DQE,30.0,
DREDGECORP,4.366671,
DRREDDY,34.83338,
DSML,4.3833356,
DSSL,17.833317,
DTIL,2.4666653,
DUCON,2.48333,
DVL,14.683342,
DWARKESH,4.733332,
DYNAMATECH,21.800003,
DYNPRO,17.949995,
E2E,2.6833324,
EASTSILK,0.54999214,
EASUNREYRL,0.49666342,
EBBETF0423,15.313331,
EBBETF0430,4.4966836,
EC2RG,0.6000082,
